person_id,id,name,character,role
96413,tm1300,Peter Robbins,Charlie Brown (voice),ACTOR
96416,tm1300,Christopher Shea,Linus Van Pelt (voice),ACTOR
96414,tm1300,Tracy Stratford,Lucy Van Pelt (voice),ACTOR
96415,tm1300,Cathy Steinberg,Sally Brown (voice),ACTOR
149,tm1300,Bill Melendez,Snoopy (voice),ACTOR
96409,tm1300,Chris Doran,Schroeder / Shermy (voice),ACTOR
96410,tm1300,Sally Dryer,Violet (voice),ACTOR
96411,tm1300,Karen Mendelson,Patty (voice),ACTOR
96412,tm1300,Geoffrey Ornstein,Pig-Pen (voice),ACTOR
96408,tm1300,Ann Altieri,Frieda (voice),ACTOR
149,tm1300,Bill Melendez,,DIRECTOR
96413,tm71152,Peter Robbins,Charlie Brown (voice),ACTOR
96416,tm71152,Christopher Shea,Linus Van Pelt (voice),ACTOR
96410,tm71152,Sally Dryer,Lucy Van Pelt (voice),ACTOR
149,tm71152,Bill Melendez,Snoopy (voice),ACTOR
96415,tm71152,Cathy Steinberg,Sally Brown (voice),ACTOR
537139,tm71152,Gail DeFaria,Pigpen (voice),ACTOR
540391,tm71152,Glenn Mendelson,Schroeder / Shermy (voice),ACTOR
96408,tm71152,Ann Altieri,Frieda / Violet (voice),ACTOR
540390,tm71152,Lisa DeFaria,Patty (voice),ACTOR
149,tm71152,Bill Melendez,,DIRECTOR
147,tm2562,Todd Barbee,Charlie Brown (voice),ACTOR
218206,tm2562,Robin Kohn,Lucy van Pelt (voice),ACTOR
218207,tm2562,Stephen Shea,Linus van Pelt (voice),ACTOR
218725,tm2562,Hilary Momberger-Powers,Sally Brown (voice),ACTOR
146,tm2562,Christopher DeFaria,Patricia 'Peppermint Patty' Reichardt (voice),ACTOR
524248,tm2562,Jimmy Ahrens,Marcie (voice),ACTOR
149,tm2562,Bill Melendez,Snoopy / Woodstock (voice) (uncredited),ACTOR
1272542,tm2562,Robin Reed,Franklin (voice),ACTOR
253690,tm2562,Vince Guaraldi,Little Birdie Singer (voice) (uncredited),ACTOR
96413,tm2562,Peter Robbins,Charlie Brown's screaming voice (voice) (uncredited),ACTOR
54408,tm2562,Phil Roman,,DIRECTOR
149,tm2562,Bill Melendez,,DIRECTOR
439353,tm125274,Duncan Watson,Charlie Brown (voice),ACTOR
218207,tm125274,Stephen Shea,Linus van Pelt (voice),ACTOR
523059,tm125274,Melanie Kohn,Lucy van Pelt (voice),ACTOR
199826,tm125274,Greg Felton,Schroeder (voice),ACTOR
523060,tm125274,Lynn Mortensen,Sally Brown (voice),ACTOR
218726,tm125274,Linda Ercoli,Violet / Frieda (voice),ACTOR
149,tm125274,Bill Melendez,Snoopy / Woodstock (voice),ACTOR
54408,tm125274,Phil Roman,,DIRECTOR
147,tm106607,Todd Barbee,Charlie Brown / Schroeder (voice),ACTOR
523059,tm106607,Melanie Kohn,Lucy van Pelt (voice),ACTOR
218207,tm106607,Stephen Shea,Linus van Pelt (voice),ACTOR
218726,tm106607,Linda Ercoli,Patricia 'Peppermint Patty' Reichardt (voice),ACTOR
523060,tm106607,Lynn Mortensen,Sally Brown / Violet / Frieda (voice),ACTOR
524248,tm106607,Jimmy Ahrens,Marcie (voice),ACTOR
149,tm106607,Bill Melendez,Snoopy / Woodstock (voice) (uncredited),ACTOR
54408,tm106607,Phil Roman,,DIRECTOR
25701,ts5136,Jerry Nelson,Gobo Fraggle / Marjory the Trash Heap / Pa Gorg / Uncle Gobo Fraggle / Mervin Merggle / Fishface / Parrot / Architect Doozer / Feenie Fraggle / Radio Announcers (voice),ACTOR
15756,ts5136,Steve Whitmire,Wembley Fraggle / Sprocket the Dog / Mermer Merggle / Crusty Doozer / Venerable Sage Hambo / Murray the Minstrel / Flange Doozer / Sir Blunderbrain / Club Member #3 (voice),ACTOR
82092,ts5136,Karen Prell,Red Fraggle / Balsam the Minstrel / Wingnut Doozer / Judge Gaval Fraggle / Marly Fraggle / Gorg's Killer Souffle / Wingnut Fraggle / Fluffinella / Modem Doozer / The Beast / Baby Tree Creature (voice),ACTOR
15758,ts5136,Dave Goelz,"Boober / Uncle ""Traveling"" Matt / Side Bottom / The World's Oldest Fraggle (voice)",ACTOR
32615,ts5136,Kathryn Mullen,Mokey Fraggle / Cotterpin Dozer / Crosscut Doozer / Merboo Merggle / Rock Hockey Hannah / Wimple Fraggle / The Old Gypsy Lady / Sally Spotless / Tammy Shrub / Baby Doozer / Doozer #2 (voice),ACTOR
40308,ts5136,Gerard Parkes,Doc,ACTOR
86161,ts5136,Bob Stutt,Muppet Performer / Felix the Fearless / Wandering McMooch / Last of the Lily Creatures / The Avalanche Monster / Bigmouth Fraggle (voice),ACTOR
25702,ts5136,Richard Hunt,Junior Gorg (himself) / Gunge / Mudwell the Mudbunny / Herkimer Fraggle / The Spiderfly / Gillis Fraggle / Turbo / The Genie / Purple Fragglette / Fire Chief Fraggle / Flex Doozer / Background Fraggles (voice),ACTOR
32002,tm115354,Chad Allen,Charlie Brown (voice),ACTOR
475391,tm115354,Kristie Baker,Peppermint Patty (voice),ACTOR
494018,tm115354,Melissa Guzzi,Lucy van Pelt (voice),ACTOR
494019,tm115354,Aron Mandelbaum,Schroeder (voice),ACTOR
53263,tm115354,Jeremy Miller,Linus van Pelt (voice),ACTOR
494020,tm115354,Jason Mendelson,Marcie (voice),ACTOR
494021,tm115354,Elizabeth Lyn Fraser,Sally Brown (voice),ACTOR
149,tm115354,Bill Melendez,Snoopy / Woodstock (voice) (uncredited),ACTOR
483151,tm115354,Sam Jaimes,,DIRECTOR
149,tm115354,Bill Melendez,,DIRECTOR
2163,tm62080,George Clooney,Jack Foley,ACTOR
2231,tm62080,Jennifer Lopez,Karen Sisco,ACTOR
3458,tm62080,Ving Rhames,Buddy Bragg,ACTOR
1854,tm62080,Don Cheadle,Maurice 'Snoopy' Miller,ACTOR
2281,tm62080,Steve Zahn,Glenn Michaels,ACTOR
4494,tm62080,Dennis Farina,Marshall Sisco,ACTOR
6108,tm62080,Catherine Keener,Adele Delisi,ACTOR
28194,tm62080,Isaiah Washington,Kenneth,ACTOR
7064,tm62080,Albert Brooks,Richard Ripley,ACTOR
11409,tm62080,Luis Guzmán,José 'Chino' Chirino,ACTOR
7871,tm62080,Viola Davis,Moselle,ACTOR
1627145,tm62080,Jim Robinson,Bank Employee,ACTOR
124729,tm62080,Mike Malone,Bank Customer,ACTOR
1627415,tm62080,Donna Frenzel,Bank Teller,ACTOR
82960,tm62080,Manny Suarez,Bank Cop,ACTOR
9346,tm62080,Keith Hudson,Bank Cop,ACTOR
269867,tm62080,Paul Soileau,Lulu,ACTOR
124728,tm62080,Scott Allen,Pup,ACTOR
1497618,tm62080,Susan Hatfield,Parking Lot Woman,ACTOR
207618,tm62080,Brad Martin,White Boxer,ACTOR
13992,tm62080,James Black,Himey,ACTOR
485040,tm62080,Wendell B. Harris Jr.,Daniel Burdon,ACTOR
43606,tm62080,Chuck Castleberry,Library Guard,ACTOR
19758,tm62080,Chic Daniel,Shock Lock FBI Man,ACTOR
10962,tm62080,Keith Loneker,White Boy Bob,ACTOR
14912,tm62080,Connie Sawyer,Old Elevator Lady,ACTOR
36786,tm62080,Philip Perlman,Old Elevator Gent,ACTOR
22962,tm62080,Paul Calderon,Raymond Cruz,ACTOR
469638,tm62080,Gregory Alpert,Officer Grant,ACTOR
1627427,tm62080,Mark Brown,Ripley Personnel,ACTOR
1627429,tm62080,Sandra Ives,Ripley Receptionist,ACTOR
72538,tm62080,Joe Hess,Ripley Guard,ACTOR
25491,tm62080,Betsy Monroe,Waitress,ACTOR
4411,tm62080,Wayne Pére,Philip,ACTOR
14302,tm62080,Joe Chrest,Andy,ACTOR
79233,tm62080,Joe Coyle,Third Ad Guy,ACTOR
13720,tm62080,Nancy Allen,Midge,ACTOR
2295,tm62080,Michael Keaton,Ray Nicolette (uncredited),ACTOR
1852,tm62080,Samuel L. Jackson,Hejirah Henry (uncredited),ACTOR
1627433,tm62080,Stephen M. Horn,Federal Marshal,ACTOR
405816,tm62080,Oscar A. Diaz,Airport Patron (uncredited),ACTOR
205226,tm62080,Jennifer Dorogi,Waitress (uncredited),ACTOR
65966,tm62080,Deborah Smith Ford,Airport Passenger (uncredited),ACTOR
669568,tm62080,Mike Gerzevitz,Xenon Light Guard (uncredited),ACTOR
1561851,tm62080,Thelma Gutiérrez,Flight Attendant (uncredited),ACTOR
138837,tm62080,Wayne V. Johnson,Bank Manager (uncredited),ACTOR
778075,tm62080,Pati Lauren,Bank Patron (uncredited),ACTOR
469713,tm62080,Sherrie Peterson,Shopper (uncredited),ACTOR
186445,tm62080,Ronnie Stutes,Gas Station Attendant (uncredited),ACTOR
6315,tm62080,Steven Soderbergh,,DIRECTOR
13602,tm57265,Catherine Zeta-Jones,"Virginia ""Gin"" Baker",ACTOR
6833,tm57265,Sean Connery,"Robert ""Mac"" MacDougal",ACTOR
10396,tm57265,Will Patton,Hector Cruz,ACTOR
10476,tm57265,Maury Chaykin,Conrad Greene,ACTOR
3458,tm57265,Ving Rhames,Aaron Thibadeaux,ACTOR
3384,tm57265,Kevin McNally,Haas,ACTOR
24331,tm57265,Terry O'Neill,Quinn,ACTOR
81181,tm57265,Madhav Sharma,Security Chief,ACTOR
11736,tm57265,David Yip,Chief of Police,ACTOR
81182,tm57265,Tim Potter,Millennium Man,ACTOR
17508,tm57265,Eric Meyers,Waverly Technician,ACTOR
81183,tm57265,Aaron Swartz,Cruz's Man,ACTOR
81184,tm57265,William Marsh,Computer Technician,ACTOR
81185,tm57265,Tony Xu,Banker,ACTOR
598721,tm57265,Rolf Saxon,ICB Director,ACTOR
67996,tm57265,Tom Clarke Hill,ICB Operator,ACTOR
81187,tm57265,David Howard,ICB Technician,ACTOR
463258,tm57265,Sai-Kit Yung,Doctor,ACTOR
73350,tm57265,Ravin J. Ganatra,1st Security Guard,ACTOR
81188,tm57265,Rhydian Jai-Persad,2nd Security Guard,ACTOR
598722,tm57265,Hari Dhillon,3rd Security Guard,ACTOR
22600,tm57265,Jon Amiel,,DIRECTOR
473809,tm125504,Jamie E. Smith,Charlie Brown (voice),ACTOR
466704,tm125504,John Christian Graas,Linus Van Pelt (voice),ACTOR
5977,tm125504,Marnette Patterson,Lucy Van Pelt / Frieda (voice),ACTOR
473810,tm125504,Mindy Ann Martin,Sally Brown (voice),ACTOR
149,tm125504,Bill Melendez,Snoopy / Woodstock (voice),ACTOR
473811,tm125504,Phillip Lucier,Peppermint Patty (voice),ACTOR
473812,tm125504,Lindsay Benesh,Marcie / Patty (voice),ACTOR
2567836,tm125504,Sean Mendelson,Franklin (voice),ACTOR
2097158,tm125504,Deanna Tello,Peggy Jean / Violet (voice),ACTOR
2097334,tm125504,Matthew Slowik,Harold Angel (voice),ACTOR
478279,tm125504,Brittany Thornton,Additional voices (voice),ACTOR
53400,tm125504,Jodie Sweetin,Sally Brown (voice),ACTOR
149,tm125504,Bill Melendez,,DIRECTOR
1071,tm134144,Mark Wahlberg,Charlie Croker,ACTOR
1737,tm134144,Charlize Theron,Stella Bridger,ACTOR
2540,tm134144,Edward Norton,Steve,ACTOR
2674,tm134144,Jason Statham,Handsome Rob,ACTOR
1491,tm134144,Seth Green,Lyle,ACTOR
7183,tm134144,Yasiin Bey,Left Ear,ACTOR
1765,tm134144,Donald Sutherland,John Bridger,ACTOR
78216,tm134144,Boris Lee Krutonog,Yevhen,ACTOR
590351,tm134144,Franky G,Wrench,ACTOR
78218,tm134144,Gawtti,Skinny Pete,ACTOR
15349,tm134144,Olek Krupa,Mashkov,ACTOR
78219,tm134144,Melanie Jayne,Skinny Pete's Girl,ACTOR
1087253,tm134144,Kobra Devoux,Pete's Guard,ACTOR
7606,tm134144,Oscar Nunez,Security Guard,ACTOR
78208,tm134144,Fausto Callegarini,Italian Guard,ACTOR
78209,tm134144,Stefano Petronelli,Garbageman,ACTOR
78210,tm134144,Fabio Scarpa,Garbageman,ACTOR
78211,tm134144,Cristiano Bonora,Garbageman,ACTOR
78212,tm134144,Tiberio Greco,Garbageman,ACTOR
78214,tm134144,Mary Portser,Stella's Receptionist,ACTOR
598747,tm134144,Gregory Scott Cummins,Ukranian,ACTOR
7103,tm134144,Scott Adsit,Actor Rehearsing In Car,ACTOR
26349,tm134144,Kelly Brook,Lyle's Girlfriend,ACTOR
39150,tm134144,Erik Walker,Bully,ACTOR
78213,tm134144,Jimmy Shubert,First Detective,ACTOR
78215,tm134144,Tammi Cubilette,Second Detective,ACTOR
44216,tm134144,Simon Rhee,Armored Truck Guard,ACTOR
293300,tm134144,Joel Homan,Young Charlie,ACTOR
101751,tm134144,Julie Costello,Becky,ACTOR
232144,tm134144,Marty Ryan,ATSAC Supervisor,ACTOR
1033098,tm134144,Aaron Speiser,Danielson,ACTOR
1613797,tm134144,Thomas Alexander,Vance,ACTOR
